ID,Area,Year,Lat,Long,UTM_east,UTM_north,UTM_zone,Depth,WL,Elev,TDS,ph,EC,K,Ca,Mg,Na,SO4,Cl,HCO3,Bal,Aq,Fac
SB_281  ,Desa Bulusari,2003,-6.97435,110.53994,449183,9229062,49M,120,14.2,3,571,8.25,850,2.5,14,3.9,150,98.6,91.1,144.5,4.2,Quaternary marine,sodium chloride
SB_282  ,RRI Kuripan,2003,-7.03371,110.54774,450050,9222500,49M,,23.63,13,611,7.72,911,10,37,9,148,79.7,46.6,362.1,2,Quaternary marine,sodium bicarbonate
SB_299  ,Kartika sirup Kec. Gubug,2003,-7.05145,110.66066,462523,9220550,49M,60,8.46,11,391,7.67,584,8.5,29,6.9,100,11.9,49.1,311.5,-1.2,Quaternary marine,sodium bicarbonate
SP_764  ,Obs. PRPP,2003,-6.96434,110.38893,432500,9230150,49M,90,18.71,2,1088,7.32,1623,16.5,28.7,35.6,260,28.7,409.8,298.3,-2.8,Quaternary marine,sodium chloride
SB_793  ,"Aorta, Kaligawe",2003,-6.95532,110.46636,441053,9231157,49M,150,25.86,1.5,428,7.81,636,3.5,20.4,1.5,128,56.5,41.2,275.8,-0.4,Garang,sodium bicarbonate
SB_951  ,Bulusan Kec. Karangtengah,2003,-6.86908,110.54834,450100,9240700,49M,100,7.5,2,791,8.05,1183,10,8.6,1.3,244,45.6,211.4,268.3,0.4,Quaternary marine,sodium chloride
SB_332  ,Desa Karangsari,2003,-6.91833,110.59315,455055,9235260,49M,,10.8,10,424,8.52,631,1.5,4.8,6.1,128,63.3,55.3,178.2,4.5,Quaternary marine,sodium bicarbonate
SB_262  ,Desa Trengguli,2003,-6.89692,110.69634,466453,9237635,49M,120,2,5,2684,6.96,3890,19.5,309.8,82.8,440,76.2,1254.5,384.7,-1.5,Quaternary marine,sodium chloride
SB_265  ,Desa Rejosari Kec. Gajah,2003,-6.8992,110.72415,469525,9237385,49M,90,2.3,6,1540,7.29,2300,6.5,43.2,13,500,38.6,811.4,129.5,-1.3,Quaternary marine,sodium chloride
SP_341  ,Obs. Indofood,2003,-6.99024,110.33434,426474,9227278,49M,,56.94,40,231,6.52,349,6,42.4,17.9,27,21.4,11.2,238.3,2.6,Damar,calcium bicarbonate
